,starring,movie_name,Name,Gender,Gender_Dummy
0,Tim,The Shawshank Redemption,Tim,male,1
1,Tim,Toy Story,Tim,male,1
2,Tim,Reservoir Dogs,Tim,male,1
3,Tim,Toy Story 3,Tim,male,1
4,Tim,The Treasure of the Sierra Madre,Tim,male,1
5,Morgan,The Shawshank Redemption,Morgan,male,1
6,Morgan,The Shawshank Redemption,Morgan,female,0
7,Morgan,Se7en,Morgan,male,1
8,Morgan,Se7en,Morgan,female,0
9,Morgan,Unforgiven,Morgan,male,1
10,Morgan,Unforgiven,Morgan,female,0
11,Morgan,Million Dollar Baby,Morgan,male,1
12,Morgan,Million Dollar Baby,Morgan,female,0
13,Bob,The Shawshank Redemption,Bob,male,1
14,Marlon,The Godfather,Marlon,male,1
15,Marlon,Apocalypse Now,Marlon,male,1
16,Marlon,On the Waterfront,Marlon,male,1
17,Al,The Godfather,Al,male,1
18,Al,The Godfather: Part II,Al,male,1
19,Al,Scarface,Al,male,1
20,Al,Heat,Al,male,1
21,James,The Godfather,James,male,1
22,James,The Godfather,James,female,0
23,James,It's a Wonderful Life,James,male,1
24,James,It's a Wonderful Life,James,female,0
25,James,The Lion King,James,male,1
26,James,The Lion King,James,female,0
27,James,Rear Window,James,male,1
28,James,Rear Window,James,female,0
29,James,Once Upon a Time in America,James,male,1
30,James,Once Upon a Time in America,James,female,0
31,James,Vertigo,James,male,1
32,James,Vertigo,James,female,0
33,James,North by Northwest,James,male,1
34,James,North by Northwest,James,female,0
35,James,The Great Escape,James,male,1
36,James,The Great Escape,James,female,0
37,James,Mr. Smith Goes to Washington,James,male,1
38,James,Mr. Smith Goes to Washington,James,female,0
39,James,The Man Who Shot Liberty Valance,James,male,1
40,James,The Man Who Shot Liberty Valance,James,female,0
41,Robert,The Godfather: Part II,Robert,male,1
42,Robert,The Godfather: Part II,Robert,female,0
43,Robert,The Godfather: Part II,Robert,male,1
44,Robert,The Godfather: Part II,Robert,female,0
45,Robert,Goodfellas,Robert,male,1
46,Robert,Goodfellas,Robert,female,0
47,Robert,Apocalypse Now,Robert,male,1
48,Robert,Apocalypse Now,Robert,female,0
49,Robert,Joker,Robert,male,1
50,Robert,Joker,Robert,female,0
51,Robert,Avengers: Infinity War,Robert,male,1
52,Robert,Avengers: Infinity War,Robert,female,0
53,Robert,Once Upon a Time in America,Robert,male,1
54,Robert,Once Upon a Time in America,Robert,female,0
55,Robert,Avengers: Endgame,Robert,male,1
56,Robert,Avengers: Endgame,Robert,female,0
57,Robert,Taxi Driver,Robert,male,1
58,Robert,Taxi Driver,Robert,female,0
59,Robert,The Sting,Robert,male,1
60,Robert,The Sting,Robert,female,0
61,Robert,The Sting,Robert,male,1
62,Robert,The Sting,Robert,female,0
63,Robert,Heat,Robert,male,1
64,Robert,Heat,Robert,female,0
65,Robert,Casino,Robert,male,1
66,Robert,Casino,Robert,female,0
67,Robert,Raging Bull,Robert,male,1
68,Robert,Raging Bull,Robert,female,0
69,Robert,Dial M for Murder,Robert,male,1
70,Robert,Dial M for Murder,Robert,female,0
71,Robert,The Deer Hunter,Robert,male,1
72,Robert,The Deer Hunter,Robert,female,0
73,Robert,To Be or Not to Be,Robert,male,1
74,Robert,To Be or Not to Be,Robert,female,0
75,Robert,Dead Poets Society,Robert,male,1
76,Robert,Dead Poets Society,Robert,female,0
77,Robert,Rififi,Robert,male,1
78,Robert,Rififi,Robert,female,0
79,Christian,The Dark Knight,Christian,male,1
80,Christian,The Dark Knight,Christian,female,0
81,Christian,The Prestige,Christian,male,1
82,Christian,The Prestige,Christian,female,0
83,Christian,The Dark Knight Rises,Christian,male,1
84,Christian,The Dark Knight Rises,Christian,female,0
85,Christian,Batman Begins,Christian,male,1
86,Christian,Batman Begins,Christian,female,0
87,Christian,Ford v Ferrari,Christian,male,1
88,Christian,Ford v Ferrari,Christian,female,0
89,Heath,The Dark Knight,Heath,male,1
90,Aaron,The Dark Knight,Aaron,male,1
91,Aaron,The Dark Knight,Aaron,female,0
92,Henry,12 Angry Men,Henry,male,1
93,Henry,12 Angry Men,Henry,female,0
94,Henry,Modern Times,Henry,male,1
95,Henry,Modern Times,Henry,female,0
96,Henry,Once Upon a Time in the West,Henry,male,1
97,Henry,Once Upon a Time in the West,Henry,female,0
98,Lee,12 Angry Men,Lee,male,1
99,Lee,12 Angry Men,Lee,female,0
100,Lee,"The Good, the Bad and the Ugly",Lee,male,1
101,Lee,"The Good, the Bad and the Ugly",Lee,female,0
102,Lee,For a Few Dollars More,Lee,male,1
103,Lee,For a Few Dollars More,Lee,female,0
104,Lee,On the Waterfront,Lee,male,1
105,Lee,On the Waterfront,Lee,female,0
106,Martin,12 Angry Men,Martin,male,1
107,Martin,Apocalypse Now,Martin,male,1
108,Liam,Schindler's List,Liam,male,1
109,Ralph,Schindler's List,Ralph,male,1
110,Ralph,Schindler's List,Ralph,female,0
111,Ralph,Paths of Glory,Ralph,male,1
112,Ralph,Paths of Glory,Ralph,female,0
113,Ralph,The Grand Budapest Hotel,Ralph,male,1
114,Ralph,The Grand Budapest Hotel,Ralph,female,0
115,Ben,Schindler's List,Ben,male,1
116,Ben,WALL·E,Ben,male,1
117,Ben,Good Will Hunting,Ben,male,1
118,Ben,Gone Girl,Ben,male,1
119,Elijah,The Lord of the Rings: The Return of the King,Elijah,male,1
120,Elijah,The Lord of the Rings: The Fellowship of the Ring,Elijah,male,1
121,Elijah,The Lord of the Rings: The Two Towers,Elijah,male,1
122,Viggo,The Lord of the Rings: The Return of the King,,,0
123,Viggo,The Lord of the Rings: The Two Towers,,,0
124,Viggo,Green Book,,,0
125,Ian,The Lord of the Rings: The Return of the King,Ian,male,1
126,Ian,The Lord of the Rings: The Fellowship of the Ring,Ian,male,1
127,Ian,The Lord of the Rings: The Two Towers,Ian,male,1
128,John,Pulp Fiction,John,male,1
129,John,Pulp Fiction,John,female,0
130,John,Alien,John,male,1
131,John,Alien,John,female,0
132,John,To Kill a Mockingbird,John,male,1
133,John,To Kill a Mockingbird,John,female,0
134,John,Up,John,male,1
135,John,Up,John,female,0
136,John,Monty Python and the Holy Grail,John,male,1
137,John,Monty Python and the Holy Grail,John,female,0
138,John,Chinatown,John,male,1
