,movie_name,rating,number_of_reviews,budget,box_office_revenue,runtime
0,The Shawshank Redemption,9.3,2395380,25000000,28817291.0,142
1,The Godfather,9.2,1659275,6000000,246120986.0,175
2,The Godfather: Part II,9.0,1153451,13000000,48035783.0,202
3,The Dark Knight,9.0,2357059,185000000,1005973645.0,152
4,12 Angry Men,9.0,706423,350000,955.0,96
5,Schindler's List,8.9,1236736,22000000,322161245.0,195
6,The Lord of the Rings: The Return of the King,8.9,1673134,94000000,1146030912.0,201
7,Pulp Fiction,8.9,1863232,8000000,213928762.0,154
8,"The Good, the Bad and the Ugly",8.8,700603,1200000,25253751.0,161
9,The Lord of the Rings: The Fellowship of the Ring,8.8,1693881,93000000,897690072.0,178
10,Fight Club,8.8,1893056,63000000,101209702.0,139
11,Forrest Gump,8.8,1852268,55000000,678226133.0,142
12,Inception,8.8,2115066,160000000,836836967.0,148
13,The Lord of the Rings: The Two Towers,8.7,1513034,94000000,947495095.0,179
14,Star Wars: Episode V - The Empire Strikes Back,8.7,1179280,18000000,538375067.0,124
15,The Matrix,8.7,1711264,63000000,466364845.0,136
16,Goodfellas,8.7,1043027,25000000,46952991.0,146
17,One Flew Over the Cuckoo's Nest,8.7,933614,3000000,108997629.0,133
19,Se7en,8.6,1477687,33000000,327333559.0,127
20,The Silence of the Lambs,8.6,1299010,19000000,272742922.0,118
22,It's a Wonderful Life,8.6,412580,3180000,6184298.0,130
23,Life Is Beautiful,8.6,636988,20000000,230098753.0,116
24,Star Wars: Episode IV - A New Hope,8.6,1251358,11000000,775398007.0,121
25,Saving Private Ryan,8.6,1262950,70000000,482349603.0,169
26,Spirited Away,8.6,671064,19000000,355475245.0,125
27,The Green Mile,8.6,1174012,60000000,286801374.0,189
28,Interstellar,8.6,1559662,165000000,701729206.0,169
29,Parasite,8.6,609557,11400000,258857505.0,132
32,The Usual Suspects,8.5,1007857,6000000,23341568.0,106
33,The Pianist,8.5,749089,35000000,120072577.0,150
34,Back to the Future,8.5,1082318,19000000,381906762.0,116
35,Terminator 2: Judgment Day,8.5,1011157,102000000,520881154.0,137
36,Modern Times,8.5,222713,1500000,457688.0,87
37,Psycho,8.5,615734,806947,32040242.0,109
38,The Lion King,8.5,961678,45000000,1083720877.0,88
39,American History X,8.5,1049607,20000000,23875127.0,119
40,City Lights,8.5,171164,1500000,46008.0,87
41,Gladiator,8.5,1366738,103000000,465364545.0,155
42,The Departed,8.5,1213454,90000000,291465373.0,151
43,Whiplash,8.5,739154,3300000,49396747.0,106
44,Grave of the Fireflies,8.5,243150,3700000,516962.0,89
46,The Prestige,8.5,1216171,40000000,109676311.0,130
47,Casablanca,8.5,530573,950000,4376287.0,102
48,Once Upon a Time in the West,8.5,307830,5000000,5434825.0,165
49,Rear Window,8.5,452243,1000000,37034514.0,112
50,Cinema Paradiso,8.5,236558,5000000,13019063.0,155
51,Alien,8.4,803231,11000000,106285522.0,117
52,Apocalypse Now,8.4,617394,31500000,92149094.0,147
53,Memento,8.4,1145234,9000000,40047078.0,113
54,Indiana Jones and the Raiders of the Lost Ark,8.4,897615,18000000,389925971.0,115
55,The Great Dictator,8.4,206914,2000000,969879.0,125
56,The Lives of Others,8.4,365445,2000000,77356942.0,137
57,Django Unchained,8.4,1389585,100000000,426074373.0,165
58,Paths of Glory,8.4,182040,935000,5252.0,88
59,Sunset Blvd.,8.4,205351,1752000,300073.0,110
60,WALL·E,8.4,1019533,180000000,521311890.0,98
61,The Shining,8.4,917728,19000000,46998772.0,144
62,Joker,8.4,1000121,55000000,1074251311.0,122
63,Avengers: Infinity War,8.4,878614,321000000,2048359754.0,149
64,Witness for the Prosecution,8.4,111923,3000000,7693.0,116
65,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,457420,1800000,9444747.0,95
66,Spider-Man: Into the Spider-Verse,8.4,400498,90000000,375540831.0,117
68,Oldboy,8.4,527101,3000000,15002116.0,120
70,Once Upon a Time in America,8.4,318305,30000000,5472914.0,229
72,The Dark Knight Rises,8.4,1545686,250000000,1081142612.0,164
73,Aliens,8.3,663046,18500000,131060248.0,137
74,Coco,8.4,406224,175000000,807817888.0,105
76,Capernaum,8.4,69089,4000000,64417003.0,126
77,Avengers: Endgame,8.4,876259,356000000,2797501328.0,181
79,American Beauty,8.3,1085078,15000000,356296601.0,122
80,Toy Story,8.3,905015,30000000,394436586.0,81
81,Braveheart,8.3,973120,72000000,213216216.0,178
82,Amadeus,8.3,375004,18000000,52066791.0,160
84,Inglourious Basterds,8.3,1298208,70000000,321457747.0,153
85,Good Will Hunting,8.3,880038,10000000,225933435.0,126
86,Star Wars: Episode VI - Return of the Jedi,8.3,966437,32500000,475106177.0,131
87,2001: A Space Odyssey,8.3,614618,12000000,65783882.0,149
88,Reservoir Dogs,8.3,935909,1200000,2892430.0,99
91,Citizen Kane,8.3,412455,839727,1601055.0,119
92,Vertigo,8.3,371413,2479000,7797300.0,128
93,Requiem for a Dream,8.3,780261,4500000,7390108.0,102
94,The Hunt,8.3,292532,3800000,15843274.0,115
95,Singin' in the Rain,8.3,223072,2540800,1865056.0,103
96,North by Northwest,8.3,303927,3101000,73695.0,136
97,Eternal Sunshine of the Spotless Mind,8.3,927617,20000000,74036715.0,108
99,Bicycle Thieves,8.3,149990,133000,428978.0,89
101,Lawrence of Arabia,8.3,272699,15000000,45715757.0,187
103,The Kid,8.3,116286,250000,26916.0,68
104,Full Metal Jacket,8.3,686418,30000000,46357676.0,116
106,A Clockwork Orange,8.3,769926,2200000,26904636.0,136
107,Taxi Driver,8.3,741311,1300000,28441292.0,114
109,The Sting,8.3,245434,5500000,156000000.0,129
110,1917,8.3,461429,95000000,384987108.0,119
111,Double Indemnity,8.3,146210,927262,14190.0,107
112,Amélie,8.3,713718,10000000,173924742.0,122
113,The Apartment,8.3,167593,3000000,18778454.0,125
114,A Separation,8.3,225182,500000,22926076.0,123
116,Incendies,8.3,155440,6800000,7099598.0,131
117,Scarface,8.3,758681,25000000,65884703.0,170
118,Toy Story 3,8.2,770018,200000000,1066970811.0,103
119,To Kill a Mockingbird,8.3,297622,2000000,599146.0,129
120,For a Few Dollars More,8.2,236949,600000,15000000.0,132
121,Up,8.2,953763,175000000,735099102.0,96
122,Indiana Jones and the Last Crusade,8.2,702433,48000000,474171806.0,127
123,L.A. Confidential,8.2,540730,35000000,126216940.0,138
124,Rashomon,8.2,155735,250000,46808.0,88
125,Heat,8.2,590343,60000000,187436818.0,170
127,Die Hard,8.2,804642,28000000,141603197.0,132
128,Ran,8.2,115390,11500000,4164283.0,162
130,Green Book,8.2,404853,23000000,321752656.0,130
132,Batman Begins,8.2,1332825,150000000,373661946.0,140
133,Some Like It Hot,8.2,248052,2883848,195088.0,121
134,All About Eve,8.2,122579,1400000,151052.0,138
135,Unforgiven,8.2,382455,14400000,159157447.0,130
136,Children of Heaven,8.3,67385,180000,933933.0,89
137,Howl's Moving Castle,8.2,345134,24000000,236214446.0,119
138,The Great Escape,8.2,228485,4000000,228178.0,172
139,The Wolf of Wall Street,8.2,1224458,100000000,392000694.0,180
140,Judgment at Nuremberg,8.2,71187,3000000,12180.0,179
141,Casino,8.2,476264,52000000,116112375.0,178
142,Pan's Labyrinth,8.2,627816,19000000,83850267.0,118
143,The Treasure of the Sierra Madre,8.2,116240,3000000,5014000.0,126
144,A Beautiful Mind,8.2,864829,58000000,316791257.0,135
145,There Will Be Blood,8.2,529561,25000000,76182388.0,158
146,The Secret in Their Eyes,8.2,196965,2000000,35079650.0,129
147,Raging Bull,8.2,327315,18000000,23402427.0,129
148,My Neighbor Totoro,8.2,300496,3700000,30550727.0,86
149,Chinatown,8.2,300403,6000000,29225935.0,130
151,The Gold Rush,8.2,103211,923000,26916.0,95
152,"Three Billboards Outside Ebbing, Missouri",8.1,450077,15000000,160192267.0,115
153,Dial M for Murder,8.2,161597,1400000,18816.0,105
154,No Country for Old Men,8.1,876992,25000000,171627166.0,122
